nombre_show,artistas_limpio
La Hora y Media de El Club de la Comedia Madrid,varios
Los Monólogos de El Golfo Comedy Club en Madrid,varios
"No cruces los brazos, David Cepo",David Cepo
Malasaña - Los Mejores Monólogos de Madrid,varios
"Esto no es un show, con Galder Varas en Madrid",Galder Varas
"Buenrollistas - Víctor Parrado, en Madrid",Victor Parrado
Noches de Comedia - Monólogos en Madrid,varios
Los Monólogos del Teatro de las Aguas,varios
Intermitente - Carlos Martínez,Carlos Martínez
"Aguántame el cubata, que me da la risa - Juan Aroca",Juan Aroca
"Comedy Nights, monólogos en Beer Station",varios
Oye Siri. Dime Joan,Joan Natzari
Solo para Parejas - Los mejores monólogos de Madrid,Alex Salaberri
Ultrashow - Miguel Noguera en Madrid,Miguel Noguera
"Karim - Sólo para adultos, en Madrid",Karim
"Hij@s, el club de los malos padres",Andres Torres
Lago - Comedy Club,Miguel Lago
Imbécil - Alex ODogherty,Alex O’Dogherty
"Miss Tupper Sex, en Madrid",Pilar Ordóñez
Los 30 son los nuevos. ¡Vete a la mierda!,Jorge Santos
Asaari Bibang. Humor Negra.,Asaari Bibang
"David Guapo #Quenonosfrunjanlafiesta, en Madrid",David Guapo
Los Monólogos de Estupenda Café Bar,varios
Hardcore - Patricia Galván,Patricia Galván
Monólogos de humor - Chocita del Loro Av. Brasil,"Miguel Iribar, Quique Matilla, Dani Alés, Fernando García-Torres, Raúl Navareño, Fran El Chavo, Danny Boy-Rivera , Eva y qué, Alex Salaberri, Álvaro Casares, David Cepo, Archie Bezos"
Arde Murcia,Pedro Ángel Roca
Arde Murcia,Pedro Ángel Roca
Es mi palabra contra la mía - Luís Piedrahita,Luís Piedrahita
"Dani Alés - Tabú, un monólogo inadecuado",Dani Alés
"Tinder Sorpresa - Andreu Casanova, en Madrid",Andreu Casanova
El Micro de las Aguas. Open Mic,rotativo
La España Vaciada,"Juanjo Albiñana, Roberto Gontán, Jesús Arenas, Fran Pati"
"Stand Up Comedy, In English",Mike Damanti
Álex Clavero - La Nueva Normalidad,Alex Clavero
Alex Salaberri. Qué le pasa doctor.,Alex Salaberri
Diego Arjona - ¡Aquí no hay playa!,Diego Arjona
"Carlos Librado, NENE",Carlos Librado Nene
"YO NUNCA SHOW,  de Raúl Massana",Raúl Massana
Javi Durán - Fracashow en Beer Station,Javi Durán
Un Monólogo de Puta Madre - Juan Morales,Juan Morales
Predicadores de la impro,"David Carrascosa, Dani Jota, Mercuria Teatro"
Laura del Val- De Burgos también se sale,Laura del Val
Comedia Subterránea. Open Mic,rotativo
"Alicia Lobo - Hola, no me líes",Alicia Lobo
Mangos y Papayas: Ivan Perlaza & Javi Bueno,"Javi Bueno, Iván Perlaza"
Goloso de Micro.,"Diego Daño, Eva Soriano, Fran Pati, Nacho García"
Yo maté al Rey León - Dani Delacámara,Dani delacámara
