nombre,precio,artista
La Hora y Media de El Club de la Comedia Madrid,22€,
La Noche de la Risa,18€,
"No cruces los brazos, David Cepo",17€,
"Buenrollistas - Víctor Parrado, en Madrid",14€,Victor Parrado
Malasaña - Los Mejores Monólogos de Madrid,7€,Alex Salaberri Rubén Faura Marce González Raúl Fervé David Carras
"Esto no es un show, con Galder Varas en Madrid",16€,Galder Varas
Los Monólogos de El Golfo Comedy Club en Madrid,5€,"Diego Daño, Eva Soriano, Fran Pati, Nacho García, El Golfo Comedy Club"
Noches de Comedia - Monólogos en Madrid,6€,Jorge Santos; Carmen Orellana; Patxi Zubeldia; Juan Moreno; Sara Drama; Edu J; Iván Perlaza; Javi Bueno
"Comedy Nights, monólogos en Beer Station",8€,"Ignatius, Juan Solo, Nene, Luis Álvaro, Patricia Galván, Carolina Noriega, Coria Castillo, Miguel Miguel, Dani Alés, JJ Vaquero, Virginia Riezu, Jaime Caravaca, Javi Durán, Darío Mares, Silvia Sparks, Los Jackass de la Impro, Comikazes, Richar Salamanca, Galder Varas, Raúl Massana"
Los Monólogos del Teatro de las Aguas,5€,Teatro de las Aguas
"Hij@s, el club de los malos padres","14,90€",
"Aguántame el cubata, que me da la risa - Juan Aroca",12€,Juan Aroca
Lago - Comedy Club,21€,Miguel Lago
Imbécil - Alex ODogherty,16€,Alex O’Dogherty
Monólogos de humor - Chocita del Loro Gran vía,15€,La Chocita del Loro
Oye Siri. Dime Joan,12€,Joan Natzari
"Karim - Sólo para adultos, en Madrid","14,90€",Karim
"Miss Tupper Sex, en Madrid",18€,Pilar Ordóñez
Los 30 son los nuevos. ¡Vete a la mierda!,12€,Jorge Santos
Solo para Parejas - Los mejores monólogos de Madrid,13€,Alex Salaberri
Monólogos de humor - Chocita del Loro Av. Brasil,11€,"Miguel Iribar, Quique Matilla, Dani Alés, Fernando García-Torres, Raúl Navareño, Fran El Chavo, Danny Boy-Rivera , Eva y qué, Alex Salaberri, Álvaro Casares, David Cepo, Archie Bezos, La Chocita del Loro"
Los Monólogos de Estupenda Café Bar,"2,40€","Javi Delpe, Javi DelPe Estupenda Bar"
Monólogos en Tropicana Beach Club Madrid,5€,El Remate Producciones
"David Guapo #Quenonosfrunjanlafiesta, en Madrid",20€,David Guapo
La España Vaciada,14€,"Juanjo Albiñana, Roberto Gontán, Jesús Arenas, Fran Pati, Sala de Humor Fuencarral"
Laura del Val- De Burgos también se sale,11€,"Laura del Val, El Golfo Comedy Club"
"Stand Up Comedy, In English",10€,Mike Damanti
El Micro de las Aguas. Open Mic,10€,
Un Monólogo de Puta Madre - Juan Morales,10€,Juan Morales
Comedia Subterránea. Open Mic,7€,
"Isabel Rey - Diva de barrio, un show de comedia",10€,Isabel Rey
¡Es lo que hay! un show de Carlos Suárez e Iria Parada,11€,Carlos Suárez Iria Parada
"Dani Alés - Tabú, un monólogo inadecuado",14€,Dani Alés
Es mi palabra contra la mía - Luís Piedrahita,"15,20€",Luís Piedrahita
Diego Arjona - ¡Aquí no hay playa!,12€,Diego Arjona
"Tinder Sorpresa - Andreu Casanova, en Madrid",16€,Andreu Casanova
Predicadores de la impro,10€,"David Carrascosa, Dani Jota, Mercuria Teatro"
"La Cueva Comedy  Club, Open Mic!!!",6€,La Cueva Comedy Club
"Alicia Lobo - Hola, no me líes","9,60€",Alicia Lobo
Noches de comedia - Los mejores monólogos de MALASAÑA,8€,Raúl Fervé
Goloso de Micro.,10€,"Diego Daño, Eva Soriano, Fran Pati, Nacho García, El Golfo Comedy Club"
Ilusión. Javier Del Mar,10€,Javier Del Mar
Álex Clavero - La Nueva Normalidad,16€,Alex Clavero
Fran Pati: Moder-No,11€,Fran Pati
"YO NUNCA SHOW,  de Raúl Massana",10€,"Raúl, Beer Station, el Massana"
Arde Murcia,10€,Pedro Ángel Roca
Diego Arjona - Me veo en Wallapop,12€,Diego Arjona
Paula Púa.- Traca. Un monólogo de una hija única.,11€,Paula Púa
Ladys Night en Beer Station,11€,Nayra Pérez
Javi Durán - Fracashow en Beer Station,14€,"Javi Durán, Beer Station"
Felipe Mateos. El odio viene en frascos pequeños.,11€,Felipe Mateos
Tiquismiquis - Mikel Bermejo,15€,
Rita Rojo.- ¡¿A quién no le va a gustar?!,11€,"El Golfo Comedy Club, Rita Rojo"
Alex Salaberri. Qué le pasa doctor.,11€,Alex Salaberri
Fango - Rober Bodegas,18€,Rober Bodegas
De Albacete al fin del mundo - Rubén Faura,12€,Rubén Faura
No Disparen al Cómico - Manu Chacón,10€,Manu Chacón
"No es fácil ser fácil, de Silvia De Frente",12€,Silvia De Frente
Manu Partida. Gafe.,12€,Manu Partida
Pedro Ángel Roca.- Arde Murcia,11€,"Pedro Ángel Roca, El Golfo Comedy Club"
"Carlos Librado, NENE",11€,Carlos Librado Nene
Asaari Bibang. Humor Negra.,11€,"Asaari Bibang, El Golfo Comedy Club"
Open Beer - Open Mic de stand-up comedy,8€,"Dani Alés, Beer Station"
"Plátano, un show de Stand Up Clownmedy",12€,Taka Gómez
Impro-Monologos,8€,Enrique el Grande
Un mancheguico por Madrid. Marce González,10€,Merce Gonzalez
Juan Morales: un monólogo de Puta madre,8€,Juan Morales
"Nene, ¡Que me jodan! , un monólogo muy jodido",12€,Nene
Carles Cuevas y Fer Bleda. Maric*n y Tontic*.,12€,"Fer Bleda, Carles Cuevas"
Coria Castillo con Nací princesa porque zorras sobraban,14€,Coria Castillo
"Borderline, Nico Lozano",10€,Nico Lozano
"Femininity, un show de Patri Muñoz",11€,Patri Muñoz
Poco se habla de Sexo - Madrid,8€,"Jorge Santos, Adrián Serna"
El Dojo Comedia,8€,"Edu Halmoguera, Varios Artistas"
Arde Murcia,10€,Pedro Ángel Roca
Mangos y Papayas: Ivan Perlaza & Javi Bueno,10€,Javi Bueno; Iván Perlaza
Yo maté al Rey León - Dani Delacámara,10€,"Sala de Humor Fuencarral, Dani delacámara"
Albert Boira.- Que nos pille viviendo,12€,Albert Boira
Alex Gozalo. Tiempos confusos.,12€,Alex Gozalo
Lgtb Comedy Jam,5€,
Luis Álvaro - El espectáculo,12€,Luis Álvaro
"Malasañero para principantes, de Manu Kas",10€,Manu Kas
Mangos y Papayas: Javi Bueno & Iván Perlaza,9€,Javi Bueno; Iván Perlará
Mierda Fresca Open - Stand-Up Comedy presentado por Richard Salamanca,8€,Richard Salamanca
Carmen Romero y Bianca Kovacs - Odio a la gente PODCAST,8€,"Bianca Kovacs, Carmen Romero"
Super Duper. Mario Velasco,10€,Mario Velasco
Teatro y monologos. Viernes llenos de arte.,10€,Teatro Rey de Pikas
Open Open Mic. El micro abierto más abierto.,3€,"Patricia Muñoz, Fer Bleda"
Vermut Rojo Open Mic,3€,"Javi Delpe, El Remate Producciones"
Alberto Sierra. De profesión: gafas.,11€,Alberto Sierra
"No soy yo, eres tú David Carrascosa","7,50€",David Carrascosa
Mangos y Papayas - Gran Vía,"8,50€",Iván Perlaza; Javi Bueno
Vagos y maleantes,"7,50€",
Kalderas - Stand Up Comedy,11€,Kalderas
Chic  Comedy - Monólogos,"3,50€","Javi Delpe, Javi DelPe Estupenda Bar"
Sinacio presenta Toca Reír,12€,Sinacio
Vero Berenguer y Sandra U.- Enfermizas,11€,"El Golfo Comedy Club, Sandra U, Vero Berenguer"
Malhablado - Un show de Raúl Fervé,10€,Raúl Fervé
La Factoría de la Comedia - Openmic,6€,Varios
La Maricomedia - Un Show Drag Heterofriendly,8€,Dramma D'Onore
Multitask y Mileurista,7€,David Rodri
Los 30 son los nuevos ... ¡Vete a la mierda! - Jorge Santos,10€,Jorge Santos
Los 30 son los nuevos ...  ¡Vete a la mierda! - Jorge Santos,12€,Jorge Santos
Open Magic,8€,Jaime Figueroa e invitados
Una Rumana muy legal - Bianca Kovacs,12€,Bianca Kovacs
"Comedia Sin Miedo Open Mic , monologo de standup comedy","2,50€",El Gago
Ruta 66 Open Mic,3€,
"Barbie Boy, un monólogo de comedia tartamuda",5€,El Gago
"Open Mic, La Trinchera",5€,"Iván el Morita, Oscar Nos, El Remate Producciones, Andrej Hillebrand"
Silvia Sparks. El show de humor negro,11€,Silvia Sparks
Par de notas - Álvaro Seko y Fernando 'El Pelao',15€,"Alvaro Seko, Fernando 'El Pelao', La Chocita del Loro"
De Madrid Al Suelo,8€,"Juan de Dios, Oscar Nos"
El micro abierto de la Estupenda,3€,"Javi Delpe, Javi DelPe Estupenda Bar"
"Monólogo - Tampoco es para tanto, Javi Bravo",7€,El Remate Producciones
Hay que tener Huevos / Así Si Malasaña,5€,Hay que tener Huevos
Comedia sin Límites - Monólogos y mucho más,12€,"Juan Solo, Richard Salamanca"
"Javi González - Si, soy el Monólogo",11€,Javi González
"Nacho García: Estoy mayor, en Madrid",10€,Nacho García
Los perros no hablan,5€,"Paco Páez, Charlie Under"
No + Reglas,9€,"Carlos Moreno, Daniel Celester"
¡Tampoco es para tanto! - Javi Bravo,8€,Javi Bravo
¡Hostia Patxi! un monólogo en Madrid,10€,Patxi Zubeldia
Yo no quiero líos - Juan Solo,12€,Juan Solo
No te atasques con tu vida - Joan Natzari,10€,Joan Natzari
Los Monólogos de Clandestino Café-Teatro Gran vía,8€,Varios
Luismi - Colocado cabe 4.0,17€,"La Chocita del Loro, Luismi"
Monólogos en la Chocita del Loro Carabanchel,10€,"Archie Bezos, Dani Alés, Raúl Navareño, Danny Boy-Rivera , Richard Salamanca, Alex Salaberri, David Cepo, La Chocita del Loro"
Archie Bezos.- graciOSO,12€,Archie Bezos
Punch Comedy English.- Stand up Comedy in English,7€,Silvia Sparks
Tinder Sorpresa,"15,50€",Andreu Casanova
Comedia con Javi DelPe,6€,"Javi Delpe, Javi DelPe Estupenda Bar"
Fernando García - Lo que yo sé de las mujeres,17€,"Fernando García-Torres, La Chocita del Loro"
Juanma Molina y Ruinas Planchuelo - Del Sur,15€,"Ruinas Planchuelo, Juanma Molina, La Chocita del Loro"
Soy Tóxica,"7,50€","Victoria Santos, Yolanda Mora, Noa Sánchez ""La muñeka"""
Comedy Rally,7€,Bhonny Lorenzo
Monólogos - El Remate Producciones en Estación Malasaña,6€,El Remate Producciones
Kabraloker - Mas Loco Que Una Cabra,10€,Gustavo Biosca
Estación Comedy,"2,50€",
Dos Gordos muy Grasiosos,13€,"Javi Delpe, Aitor Vega"
Mala Fama - Gustavo Biosca,9€,Gustavo Biosca
"Dos Gordos muy Grasiosos, en Estupenda Bar",6€,"Javi Delpe, Aitor Vega, El Remate Producciones"
"Dos Gordos muy Grasiosos, en Estación Malasaña",7€,"Javi Delpe, Aitor Vega, El Remate Producciones"
Si te ríes: ¡Gano! - Concurso monólogos (San Sebastián de los Reyes),6€,El Remate Producciones
