local,valoracion,numero_reseñas,enlace_web,puntuacion_entradas_com,numero_entradas_com,puntuacion_facebook,numero_puntuacion_facebook
Teatro Príncipe Gran Vía,"4,2",2.596 reseñas de Google,http://www.teatroprincipegranvia.es/,"3,7/5",823 reseñas,"4,3/5",89 votos
El Golfo Comedy Club,"4,7",1.077 reseñas de Google,https://elgolfocomedy.com/,"8,9/10",· 1.657 votos,,
Teatro Arlequín Gran Vía,"4,2",5.257 reseñas de Google,http://teatroarlequingranvia.com/,"3,7/5",329 reseñas,"4,6/5",103 votos
Teatro Capitol Gran Vía,"4,2",4.896 reseñas de Google,http://www.capitolgranvia.com/,4/5,· 577 reseñas,,
Estación Malasaña,"4,5",342 reseñas de Google,https://www.estacionmalasana.es/,"3,9/5",· 23 votos,,
Teatro Alcázar,"4,3",6.725 reseñas de Google,https://gruposmedia.com/teatro-alcazar/,"3,9/5",· 1.554 reseñas,,
Cinesa Fuencarral,"4,2",6.909 reseñas de Google,http://www.cinesa.es/Cines/Proyecciones,,,,
El Sombrerero Comedy Club,"4,5",4 reseñas de Google,,,,,
Teatro de las Aguas,"4,2",1.844 reseñas de Google,http://www.teatrodelasaguas.com/,"9,5/10",885 votos,"4,7/5",116 votos
Abonavida,"4,3",1.271 reseñas de Google,http://www.abonavida.com/,4/5,103 votos,"4,7/5",3 reseñas
Beer Station - Sala 1,"4,4",3.381 reseñas de Google,http://www.beerstation.com/,9/10,778 votos,4/5,233 votos
Teatros Luchana,"4,5",3.356 reseñas de Google,https://teatrosluchana.es/,"4,6/5",232 reseñas,"4,5/5",215 votos
Pequeño Teatro Gran Vía de Madrid,"4,5",1.974 reseñas de Google,https://entradas.gruposmedia.com/entradas/es/entradas-teatro-esto-es-un-chistako-david-cesar,,,,
The Mun,"4,9",31 reseñas de Google,http://www.themun.es/,,,,
Gran teatro Caixabank Príncipe Pío,"4,4",8.017 reseñas de Google,http://laestacion.com/,"4,3/5",· 450 reseñas,,
Estupenda Bar,"4,2",1.045 reseñas de Google,https://instagram.com/estupendacafebar?utm_source=ig_profile_share&igshid=9bjr3pe5tx5g,9/10,214 votos,"3,7/5",67 votos
Teatro Chocita del Loro - Avenida Brasil,"4,4",978 reseñas de Google,http://www.lachocitadelloro.com/,"9,2/10",1.914 votos,"4,6/5",1.669 votos
Teatro Reina Victoria,"4,3",5.890 reseñas de Google,http://www.elteatroreinavictoria.com/,"3,9/5",· 917 reseñas,,
Cine Palacio de la Prensa - Sala 1,"4,1",2.503 reseñas de Google,http://www.palaciodelaprensa.com/,,,,
La chocita del Loro - Carabanchel,"4,5",1.439 reseñas de Google,http://www.lachocitadelloro.com/,"8,9/10",5.208 votos,"4,7/5",807 votos
Clandestino Café Teatro,"4,4",115 reseñas de Google,https://clandestinomadrid.es/,"8,4/10",71 votos,"9,7/10",11 votos
Teatro Chocita del Loro - Gran Vía,"4,5",4.269 reseñas de Google,http://www.lachocitadelloro.com/Teatro-La-Chocita-del-Loro-Senator-entradas.php,"8,8/10",· 14.386 votos,,
Cervecería Valverde Comedy Club - Gran Vía,"4,0",1.086 reseñas de Google,,3/5,· 1 voto,,
Collage Burlesque,"4,7",55 reseñas de Google,http://www.collageburlesque.com/,,,,
Sala Houdini,"4,8",2.857 reseñas de Google,http://www.salahoudinimadrid.com/,"4,4/5",20 reseñas,"4,7/5",166 votos
MadBeerHall,"4,3",989 reseñas de Google,http://www.madbrewing.beer/,,,,
Tropicana Beach Club Madrid,"4,1",287 reseñas de Google,http://tropicanabeachclub.es/,8/10,77 votos,"9,6/10",23 votos
La Cripta Mágica,"4,8",1.032 reseñas de Google,http://www.lacriptamagica.es/,"4,9/5",· 419 votos,,
Teatro Rey de Pikas,"4,9",427 reseñas de Google,https://www.teatroreydepikas.com/,"9,6/10",289 votos,5/5,49 votos
Intruso Bar,"4,3",1.998 reseñas de Google,http://www.intrusobar.com/,"3,6/5",· 562 votos,,
Cine Palacio de la Prensa - Sala 3,"4,1",2.503 reseñas de Google,http://www.palaciodelaprensa.com/,,,,
Teatro Bellas Artes,"4,2",2.867 reseñas de Google,http://www.teatrobellasartes.es/,"3,8/5",· 438 reseñas,,
Sala Galileo Galilei,"4,3",4.056 reseñas de Google,http://www.salagalileogalilei.com/,"3,7/5",· 1.670 votos,,
Bala Perdida Club (Hotel Axel Madrid),"4,1",103 reseñas de Google,https://www.axelhotels.com/int/axel-hotel-madrid/spaces.html,,,,
Así sí Malasaña,,,,,,,
Sala Kathedral,"3,7",157 reseñas de Google,https://instagram.com/tocacabsnamadrid,,,,
Vodevil Circus,"4,9",158 reseñas de Google,https://www.vodevilcircus.com/,5/5,· 2 votos,,
Teatro Real Carlos III de Aranjuez,"4,5",1.013 reseñas de Google,http://www.teatroaranjuez.es/,"4,5/5",414 reseñas,"4,6/5",57 votos
Teatro EDP Gran Vía,"4,2",9.559 reseñas de Google,https://gruposmedia.com/teatro-edp-gran-via/,"3,9/5",· 3.575 reseñas,,
Teatro Lara - Sala Lola Membrives,,,https://eventosteatrolara.com/,,,,
OFF LATINA,"4,5",1.771 reseñas de Google,https://offlatina.com/,,,,
Platea Café Teatro,"4,6",360 reseñas de Google,https://www.plateacafeteatro.com/,5/5,· 13 votos,,
Cafetería Valverde,"4,0",1.086 reseñas de Google,,3/5,· 1 voto,,
Teatro Amaya,"4,3",4.294 reseñas de Google,http://www.teatroamaya.com/,"4,1/5",766 reseñas,"4,7/5",157 votos
Teatro Victoria Madrid,"4,4",1.326 reseñas de Google,http://www.teatrovictoria.net/,,,,
Tatemado,,,,,,,
La Casa de Rovodorovsky Teatro,"4,3",3 reseñas de Google,http://rovodorovskyteatro.com/,,,,
La Nota Rock,"4,5",577 reseñas de Google,https://m.facebook.com/lanotarock2009/,"4,2/5",· 75 votos,,
Sleep'n Atocha,"4,4",,http://www.sleepnatocha.com/,,,,
Mad Beer Hall,"4,3",989 reseñas de Google,http://www.madbrewing.beer/,,,,
Beer Point,,,,,,,
Escuela de Danza y Centro Deportivo Belo Art,"4,9",98 reseñas de Google,http://www.beloart.es/,5/5,· 14 votos,,
