local;direccion;tipo_local;valoracion;numero_reseñas;enlace_web;puntuacion_entradas_com;numero_entradas_com;puntuacion_facebook;numero_puntuacion_facebook
Teatro Príncipe Gran Vía;C. de las Tres Cruces, 8, 28013 Madrid;Teatro en Madrid;4,2;2.601 reseñas de Google;http://www.teatroprincipegranvia.es/;3,7/5;823 reseñas;4,3/5;89 votos
El Golfo Comedy Club;C. de las Huertas, 57, 28014 Madrid;Club de comedia;4,7;1.082 reseñas de Google;https://elgolfocomedy.com/;8,9/10;· 1.660 votos;;
Teatro Arlequín Gran Vía;C. de San Bernardo, 5, 28013 Madrid;Teatro en Madrid;4,2;5.264 reseñas de Google;http://teatroarlequingranvia.com/;3,7/5;329 reseñas;4,6/5;103 votos
Teatro Capitol Gran Vía;C/ Gran Vía, 41, 28013 Madrid;Cine en Madrid;4,2;4.902 reseñas de Google;http://www.capitolgranvia.com/;4/5;· 577 reseñas;;
Estación Malasaña;C. del Pez, 16, 28004 Madrid;Bar;4,5;344 reseñas de Google;https://www.estacionmalasana.es/;3,9/5;· 23 votos;;
Teatro Alcázar;C. de Alcalá, 20, 28014 Madrid;Teatro en Madrid;4,3;6.730 reseñas de Google;https://gruposmedia.com/teatro-alcazar/;3,9/5;· 1.554 reseñas;;
Cinesa Fuencarral;Calle de Fuencarral, 136, 28010 Madrid;Cine en Madrid;4,2;6.918 reseñas de Google;http://www.cinesa.es/Cines/Proyecciones;;;;
El Sombrerero Comedy Club;C. de Trafalgar, 15, 28010 Madrid;Discoteca en Madrid;4,5;4 reseñas de Google;;;;;
Teatro de las Aguas;C. de las Aguas, 8, 28005 Madrid;Teatro en Madrid;4,2;1.848 reseñas de Google;http://www.teatrodelasaguas.com/;9,5/10;902 votos;4,7/5;116 votos
Abonavida;C. de las Navas de Tolosa, 3, 28013 Madrid;€€Bar;4,3;1.274 reseñas de Google;http://www.abonavida.com/;4/5;103 votos;4,7/5;3 reseñas
Beer Station - Sala 1;Cuesta de Sto. Domingo, 22, 28013 Madrid;€€Pub irlandés;4,4;3.382 reseñas de Google;http://www.beerstation.com/;9/10;780 votos;4/5;233 votos
Teatros Luchana;C. de Luchana, 38, 28010 Madrid;Teatro;4,5;3.371 reseñas de Google;https://teatrosluchana.es/;4,6/5;232 reseñas;4,5/5;215 votos
Pequeño Teatro Gran Vía de Madrid;C/ Gran Vía, 66, 28013 Madrid;Teatro en Madrid;4,5;1.975 reseñas de Google;https://entradas.gruposmedia.com/entradas/es/entradas-teatro-esto-es-un-chistako-david-cesar;;;;
The Mun;C. de Tomás Bretón, 20, 28045 Madrid;Espacio de coworking en Madrid;4,9;31 reseñas de Google;http://www.themun.es/;;;;
Gran teatro Caixabank Príncipe Pío;Cta. de San Vicente, 44, 28008 Madrid;Teatro en Madrid;4,4;8.021 reseñas de Google;http://laestacion.com/;4,3/5;· 450 reseñas;;
Estupenda Bar;C. de San Roque, 14, 28004 Madrid;€€Cafetería apta para perros;4,2;1.047 reseñas de Google;https://instagram.com/estupendacafebar?utm_source=ig_profile_share&igshid=9bjr3pe5tx5g;9/10;216 votos;3,7/5;67 votos
Teatro Chocita del Loro - Avenida Brasil;Av. de Brasil, 17, 28020 Madrid;Club de cómicos en Madrid;4,4;982 reseñas de Google;http://www.lachocitadelloro.com/;9,2/10;1.914 votos;4,6/5;1.674 votos
Teatro Reina Victoria;Cra de S. Jerónimo, 24, 28014 Madrid;Teatro en Madrid;4,3;5.892 reseñas de Google;http://www.elteatroreinavictoria.com/;3,9/5;918 reseñas;4,7/5;3 reseñas
Cine Palacio de la Prensa - Sala 1;Pl. del Callao, 4, 28013 Madrid;Cine en Madrid;4,1;2.503 reseñas de Google;http://www.palaciodelaprensa.com/;;;;
La chocita del Loro - Carabanchel;Calle del Dr. Urquiola, 23, 28025 Madrid;Teatro en Madrid;4,5;1.440 reseñas de Google;http://www.lachocitadelloro.com/;8,9/10;5.208 votos;4,6/5;813 votos
Clandestino Café Teatro;C. de las Tres Cruces, 12, 28013 Madrid;Café teatro en Madrid;4,4;119 reseñas de Google;https://clandestinomadrid.es/;8,4/10;· 71 votos;;
Teatro Chocita del Loro - Gran Vía;C/ Gran Vía, 70, 28013 Madrid;Teatro en Madrid;4,5;4.273 reseñas de Google;http://www.lachocitadelloro.com/Teatro-La-Chocita-del-Loro-Senator-entradas.php;8,8/10;· 14.387 votos;;
Cervecería Valverde Comedy Club - Gran Vía;C. de Valverde, 4, 28004 Madrid;€Cervecería;4,0;1.085 reseñas de Google;;3/5;· 1 voto;;
Collage Burlesque;Calle de Manuel Silvela, 6, 28010 Madrid;Bar;4,6;56 reseñas de Google;http://www.collageburlesque.com/;;;;
Sala Houdini;C. de García Luna, 13, 28002 Madrid;Mago en Madrid;4,8;2.869 reseñas de Google;http://www.salahoudinimadrid.com/;4,4/5;20 reseñas;4,7/5;166 votos
MadBeerHall;;;;;;;;;
Tropicana Beach Club Madrid;C. de la Lechuga, 2, 28012 Madrid;Bar restaurante;4,1;290 reseñas de Google;http://tropicanabeachclub.es/;8,1/10;80 votos;9,6/10;23 votos
La Cripta Mágica;C. de Tarragona, 15, 28045 Madrid;Teatro en Madrid;4,8;1.033 reseñas de Google;http://www.lacriptamagica.es/;4,9/5;· 419 votos;;
Teatro Rey de Pikas;C. de Tirso de Molina, 4, 28912 Leganés, Madrid;Teatro en Leganés;4,9;428 reseñas de Google;https://www.teatroreydepikas.com/;9,6/10;289 votos;5/5;49 votos
Intruso Bar;C. de Augusto Figueroa, 3, 28004 Madrid;€€Bar;4,3;1.999 reseñas de Google;http://www.intrusobar.com/;3,6/5;· 562 votos;;
Cine Palacio de la Prensa - Sala 3;Pl. del Callao, 4, 28013 Madrid;Cine en Madrid;4,1;2.503 reseñas de Google;http://www.palaciodelaprensa.com/;;;;
Teatro Bellas Artes;C. del Marqués de Casa Riera, 2, 28014 Madrid;Teatro en Madrid;4,2;2.870 reseñas de Google;http://www.teatrobellasartes.es/;3,8/5;· 438 reseñas;;
Sala Galileo Galilei;C. de Galileo, 100, 28015 Madrid;Sala de conciertos en Madrid;4,3;4.057 reseñas de Google;http://www.salagalileogalilei.com/;3,7/5;· 1.670 votos;;
Bala Perdida Club (Hotel Axel Madrid);C. de Atocha, 49, 28012 Madrid;Hotel de 4 estrellas;4,4;;https://www.axelhotels.com/int/axel-hotel-madrid/hotel.html;;;;
Así sí Malasaña;;;;;;;;;
Sala Kathedral;Corre. Baja de San Pablo, 39-1, 28004 Madrid;Pub;3,7;158 reseñas de Google;https://instagram.com/tocacabsnamadrid;;;;
Vodevil Circus;C. Cruz de Guadalajara, 4, 28805 Alcalá de Henares, Madrid;Teatro en Alcalá de Henares;4,9;159 reseñas de Google;https://www.vodevilcircus.com/;5/5;· 2 votos;;
Teatro Real Carlos III de Aranjuez;C. de San Antonio, 68, 28300 Aranjuez, Madrid;Teatro en Aranjuez;4,5;1.013 reseñas de Google;http://www.teatroaranjuez.es/;4,5/5;414 reseñas;4,6/5;57 votos
Teatro EDP Gran Vía;C/ Gran Vía, 66, 28013 Madrid;Teatro en Madrid;4,2;9.571 reseñas de Google;https://gruposmedia.com/teatro-edp-gran-via/;3,9/5;· 3.577 reseñas;;
Teatro Lara - Sala Lola Membrives;Corre. Baja de San Pablo, 15, 28004 Madrid;Teatro en Madrid;4,4;11.024 reseñas de Google;http://www.teatrolara.com/;;;;
OFF LATINA;C. de los Mancebos, 4, 28005 Madrid;;4,5;1.774 reseñas de Google;https://offlatina.com/;;;;
Platea Café Teatro;C. el Electrodo, 50, 28522 Rivas-Vaciamadrid, Madrid;€Café teatro, Rivas-Vaciamadrid;4,6;361 reseñas de Google;https://www.plateacafeteatro.com/;5/5;· 13 votos;;
Cafetería Valverde;C. de Valverde, 4, 28004 Madrid;€Cervecería;4,0;1.085 reseñas de Google;;;;;
Teatro Amaya;P.º del Gral. Martínez Campos, 9, 28010 Madrid;Teatro en Madrid;4,3;4.296 reseñas de Google;;4,1/5;766 reseñas;4,7/5;157 votos
Teatro Victoria Madrid;C. del Pez, 17, 28004 Madrid;Teatro en Madrid;4,4;1.326 reseñas de Google;http://www.teatrovictoria.net/;;;;
Tatemado;;;;;;;;;
La Casa de Rovodorovsky Teatro;C. de Daoiz, 28004 Madrid;Teatro en Madrid;4,3;3 reseñas de Google;http://rovodorovskyteatro.com/;;;;
La Nota Rock;C. Real, 71, 28703 San Sebastián de los Reyes, Madrid;€Pub;4,5;578 reseñas de Google;https://m.facebook.com/lanotarock2009/;4,2/5;· 75 votos;;
Sleep'n Atocha;Calle del Dr. Drumen, 4, 28012 Madrid;Hotel de 2 estrellas;4,4;;http://www.sleepnatocha.com/;;;;
Mad Beer Hall;C. de Julián Camarillo, 19, 28037 Madrid;€€Cervecería artesanal;4,3;990 reseñas de Google;http://www.madbrewing.beer/;;;;
Beer Point;;;;;;;;;
Escuela de Danza y Centro Deportivo Belo Art;C. de Pamplona, 59, 28039 Madrid;Escuela de baile en Madrid;4,9;98 reseñas de Google;http://www.beloart.es/;5/5;· 14 votos;;
