local,direccion,tipo_local,valoracion_google,numero_reseñas_google,enlace_web,puntuacion_entradas_com,numero_entradas_com,puntuacion_facebook,numero_puntuacion_facebook
Teatro Príncipe Gran Vía,"C. de las Tres Cruces, 8, 28013 Madrid",teatro,4.2,2601,http://www.teatroprincipegranvia.es/,3.7,823.0,4.3,89.0
El Golfo Comedy Club,"C. de las Huertas, 57, 28014 Madrid",club de comedia,4.7,1082,https://elgolfocomedy.com/,,,,
Teatro Arlequín Gran Vía,"C. de San Bernardo, 5, 28013 Madrid",teatro,4.2,5264,http://teatroarlequingranvia.com/,3.7,329.0,4.6,103.0
Teatro Capitol Gran Vía,"C/ Gran Vía, 41, 28013 Madrid",teatro,4.2,4902,http://www.capitolgranvia.com/,4.0,577.0,,
Estación Malasaña,"C. del Pez, 16, 28004 Madrid",bar,4.5,344,https://www.estacionmalasana.es/,3.9,23.0,,
Teatro Alcázar,"C. de Alcalá, 20, 28014 Madrid",teatro,4.3,6730,https://gruposmedia.com/teatro-alcazar/,3.9,1.554,,
Cinesa Fuencarral,"Calle de Fuencarral, 136, 28010 Madrid",cine,4.2,6918,http://www.cinesa.es/Cines/Proyecciones,,,,
El Sombrerero Comedy Club,"C. de Trafalgar, 15, 28010 Madrid",club de comedia,4.5,4,,,,,
Teatro de las Aguas,"C. de las Aguas, 8, 28005 Madrid",teatro,4.2,1848,http://www.teatrodelasaguas.com/,,,4.7,116.0
Abonavida,"C. de las Navas de Tolosa, 3, 28013 Madrid",bar,4.3,1274,http://www.abonavida.com/,4.0,103.0,4.7,3.0
Beer Station,"Cuesta de Sto. Domingo, 22, 28013 Madrid",bar,4.4,3382,http://www.beerstation.com/,,,4.0,233.0
Teatros Luchana,"C. de Luchana, 38, 28010 Madrid",teatro,4.5,3371,https://teatrosluchana.es/,4.6,232.0,4.5,215.0
Pequeño Teatro Gran Vía de Madrid,"C/ Gran Vía, 66, 28013 Madrid",teatro,4.5,1975,https://entradas.gruposmedia.com/entradas/es/entradas-teatro-esto-es-un-chistako-david-cesar,,,,
The Mun,"C. de Tomás Bretón, 20, 28045 Madrid",espacios variados,4.9,31,http://www.themun.es/,,,,
Gran teatro Caixabank Príncipe Pío,"Cta. de San Vicente, 44, 28008 Madrid",teatro,4.4,8021,http://laestacion.com/,4.3,450.0,,
Estupenda Bar,"C. de San Roque, 14, 28004 Madrid",bar,4.2,1047,https://instagram.com/estupendacafebar?utm_source=ig_profile_share&igshid=9bjr3pe5tx5g,,,3.7,67.0
Teatro Chocita del Loro - Avenida Brasil,"Av. de Brasil, 17, 28020 Madrid",teatro,4.4,982,http://www.lachocitadelloro.com/,,,4.6,1.0
Teatro Reina Victoria,"Cra de S. Jerónimo, 24, 28014 Madrid",teatro,4.3,5892,http://www.elteatroreinavictoria.com/,3.9,918.0,4.7,3.0
Cine Palacio de la Prensa,"Pl. del Callao, 4, 28013 Madrid",cine,4.1,2503,http://www.palaciodelaprensa.com/,,,,
Teatro Chocita del Loro - Carabanchel,"Calle del Dr. Urquiola, 23, 28025 Madrid",teatro,4.5,1440,http://www.lachocitadelloro.com/,,,4.6,813.0
Clandestino Café Teatro,"C. de las Tres Cruces, 12, 28013 Madrid",teatro,4.4,119,https://clandestinomadrid.es/,,,,
Teatro Chocita del Loro - Gran Vía,"C/ Gran Vía, 70, 28013 Madrid",teatro,4.5,4273,http://www.lachocitadelloro.com/Teatro-La-Chocita-del-Loro-Senator-entradas.php,,,,
Cervecería Valverde Comedy Club,"C. de Valverde, 4, 28004 Madrid",club de comedia,4.0,1085,,3.0,1.0,,
Collage Burlesque,"Calle de Manuel Silvela, 6, 28010 Madrid",bar,4.6,56,http://www.collageburlesque.com/,,,,
Sala Houdini,"C. de García Luna, 13, 28002 Madrid",espacios variados,4.8,2869,http://www.salahoudinimadrid.com/,4.4,20.0,4.7,166.0
Tropicana Beach Club Madrid,"C. de la Lechuga, 2, 28012 Madrid",bar,4.1,290,http://tropicanabeachclub.es/,,,,
La Cripta Mágica,"C. de Tarragona, 15, 28045 Madrid",teatro,4.8,1033,http://www.lacriptamagica.es/,4.9,419.0,,
Teatro Rey de Pikas,"C. de Tirso de Molina, 4, 28912 Leganés, Madrid",teatro,4.9,428,https://www.teatroreydepikas.com/,,,5.0,49.0
