nombre,precio,artista,lugar,nota,n_opiniones,duracion
La Hora y Media de El Club de la Comedia Madrid,22€,,Teatro Príncipe Gran Vía,8.7,3930,
Los Monólogos de El Golfo Comedy Club en Madrid,5€,Diego Daño,El Golfo Comedy Club,8.9,1656,"Duración
De 70 a 120 minutos (según show)"
"No cruces los brazos, David Cepo",17€,,Teatro Arlequín Gran Vía,9.6,153,"Duración
75"
La Noche de la Risa,18€,,Teatro Capitol Gran Vía,9.9,1237,"Horario(s) evento
20:00h, 22:30h"
Malasaña - Los Mejores Monólogos de Madrid,7€,Alex Salaberri Rubén Faura Marce González Raúl Fervé David Carras,Estación Malasaña,9.9,1181,"Duración
1 hora"
"Esto no es un show, con Galder Varas en Madrid",16€,Galder Varas,Teatro Alcázar,9.7,365,"Duración
100 min"
"Buenrollistas - Víctor Parrado, en Madrid",14€,Victor Parrado,Cinesa Fuencarral,9.7,554,"Duración
100 minutos"
Noches de Comedia - Monólogos en Madrid,6€,Jorge Santos; Carmen Orellana; Patxi Zubeldia; Juan Moreno; Sara Drama; Edu J; Iván Perlaza; Javi Bueno,El Sombrerero Comedy Club,9.5,901,"Duración
75 min"
Los Monólogos del Teatro de las Aguas,5€,Teatro de las Aguas,Teatro de las Aguas,9.5,885,"Duración
1 hora"
Intermitente - Carlos Martínez,"7,90€",Carlos Martínez,Abonavida,9.8,68,"Duración
60 minutos"
"Aguántame el cubata, que me da la risa - Juan Aroca",12€,Juan Aroca,Teatro de las Aguas,9.5,807,"Duración
65 minutos"
"Comedy Nights, monólogos en Beer Station",8€,Ignatius,Beer Station - Sala 1,9.0,778,"Duración
De 70 a 90 min (según espectáculo)"
Oye Siri. Dime Joan,12€,Joan Natzari,Teatro de las Aguas,9.5,107,"Duración
65 minutos"
Solo para Parejas - Los mejores monólogos de Madrid,13€,Alex Salaberri,Estación Malasaña,9.9,1204,"Duración
1 hora"
Ultrashow - Miguel Noguera en Madrid,"14,90€",Miguel Noguera,Teatros Luchana,9.0,154,"Duración
75 min"
"Karim - Sólo para adultos, en Madrid","14,90€",Karim,Teatros Luchana,9.4,1370,"Duración
70 minutos"
"Hij@s, el club de los malos padres","14,90€",,Teatros Luchana,9.4,878,"Duración
75 min."
Lago - Comedy Club,21€,Miguel Lago,Teatro Alcázar,9.2,126,"Edad mínima
16"
Imbécil - Alex ODogherty,16€,Alex O’Dogherty,Teatro Capitol Gran Vía,9.4,540,"Tipo de audiencia
Para todas las edades"
"Miss Tupper Sex, en Madrid",18€,Pilar Ordóñez,Pequeño Teatro Gran Vía de Madrid,9.2,1209,"Duración
90 minutos"
Los 30 son los nuevos. ¡Vete a la mierda!,12€,Jorge Santos,The Mun,9.6,154,"Duración
1h 30 (Incluye descanso)"
Asaari Bibang. Humor Negra.,11€,Asaari Bibang,El Golfo Comedy Club,9.8,100,"Duración
70 minutos"
"David Guapo #Quenonosfrunjanlafiesta, en Madrid",20€,David Guapo,Gran teatro Caixabank Príncipe Pío,9.0,3365,"Duración
70 minutos (sin descanso)"
Los Monólogos de Estupenda Café Bar,"2,40€",Javi Delpe,Estupenda Bar,9.0,214,"Duración
70-90 minutos aprox (depende del show)"
Hardcore - Patricia Galván,13€,Patricia Galván,Beer Station - Sala 1,9.7,125,"Duración
75 minutos"
Monólogos de humor - Chocita del Loro Av. Brasil,11€,Miguel Iribar,Teatro Chocita del Loro - Avenida Brasil,9.2,1914,"Duración
65 minutos"
Arde Murcia,10€,Pedro Ángel Roca,Abonavida,9.8,50,"Duración
75 minutos"
Es mi palabra contra la mía - Luís Piedrahita,"15,20€",Luís Piedrahita,Teatro Reina Victoria,9.4,1114,"Duración
90 minutos"
"Dani Alés - Tabú, un monólogo inadecuado",14€,Dani Alés,Beer Station - Sala 1,9.5,107,"Duración
70 minutos"
"Tinder Sorpresa - Andreu Casanova, en Madrid",16€,Andreu Casanova,Cine Palacio de la Prensa - Sala 1,9.1,1822,"Duración
90 minutos"
El Micro de las Aguas. Open Mic,10€,,Teatro de las Aguas,10,18,"Duración
75 minutos"
La España Vaciada,14€,Juanjo Albiñana,Cinesa Fuencarral,9.9,14,"Duración
90 minutos"
"Stand Up Comedy, In English",10€,Mike Damanti,Teatro de las Aguas,9.7,118,"Duración
75 minutos"
Álex Clavero - La Nueva Normalidad,16€,Alex Clavero,Teatro Capitol Gran Vía,9.7,170,"Horario(s) evento
23:00h, 21:00h"
Alex Salaberri. Qué le pasa doctor.,11€,Alex Salaberri,El Golfo Comedy Club,9.9,117,"Duración
70 minutos"
Diego Arjona - ¡Aquí no hay playa!,12€,Diego Arjona,Beer Station - Sala 1,9.7,69,"Duración
70 minutos"
"Carlos Librado, NENE",11€,Carlos Librado Nene,El Golfo Comedy Club,9.8,20,"Duración
De 70 a 120 minutos (según show)"
