nombre_show,artista
La Hora y Media de El Club de la Comedia Madrid,
Los Monólogos de El Golfo Comedy Club en Madrid,"Diego Daño, Eva Soriano, Fran Pati, Nacho García, El Golfo Comedy Club"
"No cruces los brazos, David Cepo",
La Noche de la Risa,
Malasaña - Los Mejores Monólogos de Madrid,Alex Salaberri Rubén Faura Marce González Raúl Fervé David Carras
"Esto no es un show, con Galder Varas en Madrid",Galder Varas
"Buenrollistas - Víctor Parrado, en Madrid",Victor Parrado
Noches de Comedia - Monólogos en Madrid,Jorge Santos; Carmen Orellana; Patxi Zubeldia; Juan Moreno; Sara Drama; Edu J; Iván Perlaza; Javi Bueno
Los Monólogos del Teatro de las Aguas,Teatro de las Aguas
Intermitente - Carlos Martínez,
"Aguántame el cubata, que me da la risa - Juan Aroca",Juan Aroca
"Comedy Nights, monólogos en Beer Station","Ignatius, Juan Solo, Nene, Luis Álvaro, Patricia Galván, Carolina Noriega, Coria Castillo, Miguel Miguel, Dani Alés, JJ Vaquero, Virginia Riezu, Jaime Caravaca, Javi Durán, Darío Mares, Silvia Sparks, Los Jackass de la Impro, Comikazes, Richar Salamanca, Galder Varas, Raúl Massana"
Oye Siri. Dime Joan,Joan Natzari
Solo para Parejas - Los mejores monólogos de Madrid,Alex Salaberri
Ultrashow - Miguel Noguera en Madrid,
"Karim - Sólo para adultos, en Madrid",Karim
"Hij@s, el club de los malos padres",Andres Torres
Lago - Comedy Club,Miguel Lago
Imbécil - Alex ODogherty,Alex O’Dogherty
"Miss Tupper Sex, en Madrid",Pilar Ordóñez
Los 30 son los nuevos. ¡Vete a la mierda!,Jorge Santos
Asaari Bibang. Humor Negra.,"Asaari Bibang, El Golfo Comedy Club"
"David Guapo #Quenonosfrunjanlafiesta, en Madrid",David Guapo
Los Monólogos de Estupenda Café Bar,"Javi Delpe, Javi DelPe Estupenda Bar"
Hardcore - Patricia Galván,
Monólogos de humor - Chocita del Loro Av. Brasil,"Miguel Iribar, Quique Matilla, Dani Alés, Fernando García-Torres, Raúl Navareño, Fran El Chavo, Danny Boy-Rivera , Eva y qué, Alex Salaberri, Álvaro Casares, David Cepo, Archie Bezos, La Chocita del Loro"
Arde Murcia,Pedro Ángel Roca
Arde Murcia,Pedro Ángel Roca
Es mi palabra contra la mía - Luís Piedrahita,Luís Piedrahita
"Dani Alés - Tabú, un monólogo inadecuado",Dani Alés
"Tinder Sorpresa - Andreu Casanova, en Madrid",Andreu Casanova
El Micro de las Aguas. Open Mic,
La España Vaciada,"Juanjo Albiñana, Roberto Gontán, Jesús Arenas, Fran Pati, Sala de Humor Fuencarral"
"Stand Up Comedy, In English",Mike Damanti
Álex Clavero - La Nueva Normalidad,Alex Clavero
Alex Salaberri. Qué le pasa doctor.,Alex Salaberri
Diego Arjona - ¡Aquí no hay playa!,Diego Arjona
"Carlos Librado, NENE",Carlos Librado Nene
"YO NUNCA SHOW,  de Raúl Massana","Raúl, Beer Station, el Massana"
Javi Durán - Fracashow en Beer Station,"Javi Durán, Beer Station"
Un Monólogo de Puta Madre - Juan Morales,Juan Morales
Predicadores de la impro,"David Carrascosa, Dani Jota, Mercuria Teatro"
Laura del Val- De Burgos también se sale,"Laura del Val, El Golfo Comedy Club"
Comedia Subterránea. Open Mic,
"Alicia Lobo - Hola, no me líes",Alicia Lobo
Mangos y Papayas: Ivan Perlaza & Javi Bueno,Javi Bueno; Iván Perlaza
Goloso de Micro.,"Diego Daño, Eva Soriano, Fran Pati, Nacho García, El Golfo Comedy Club"
Yo maté al Rey León - Dani Delacámara,"Sala de Humor Fuencarral, Dani delacámara"
"La Cueva Comedy  Club, Open Mic!!!",La Cueva Comedy Club
Open Beer - Open Mic de stand-up comedy,"Dani Alés, Beer Station"
Alex Gozalo. Tiempos confusos.,Alex Gozalo
