nombre_show,tipo_show,precio,duracion,artista,local,nota_atrapalo,numero_opiniones
La Hora y Media de El Club de la Comedia Madrid,show,22.0,90.0,,Teatro Príncipe Gran Vía,8.7,3930
Los Monólogos de El Golfo Comedy Club en Madrid,cuenta_local,5.0,95.0,"Diego Daño, Eva Soriano, Fran Pati, Nacho García, El Golfo Comedy Club",El Golfo Comedy Club,8.9,1656
"No cruces los brazos, David Cepo",show,17.0,75.0,,Teatro Arlequín Gran Vía,9.6,153
La Noche de la Risa,show,18.0,,,Teatro Capitol Gran Vía,9.9,1237
Malasaña - Los Mejores Monólogos de Madrid,cuenta_local,7.0,60.0,Alex Salaberri Rubén Faura Marce González Raúl Fervé David Carras,Estación Malasaña,9.9,1181
"Esto no es un show, con Galder Varas en Madrid",show,16.0,100.0,Galder Varas,Teatro Alcázar,9.7,365
"Buenrollistas - Víctor Parrado, en Madrid",show,14.0,100.0,Victor Parrado,Cinesa Fuencarral,9.7,554
Noches de Comedia - Monólogos en Madrid,cuenta_local,6.0,75.0,Jorge Santos; Carmen Orellana; Patxi Zubeldia; Juan Moreno; Sara Drama; Edu J; Iván Perlaza; Javi Bueno,El Sombrerero Comedy Club,9.5,901
Los Monólogos del Teatro de las Aguas,cuenta_local,5.0,60.0,Teatro de las Aguas,Teatro de las Aguas,9.5,885
Intermitente - Carlos Martínez,show,7.9,60.0,,Abonavida,9.8,68
"Aguántame el cubata, que me da la risa - Juan Aroca",show,12.0,65.0,Juan Aroca,Teatro de las Aguas,9.5,807
"Comedy Nights, monólogos en Beer Station",cuenta_local,8.0,80.0,"Ignatius, Juan Solo, Nene, Luis Álvaro, Patricia Galván, Carolina Noriega, Coria Castillo, Miguel Miguel, Dani Alés, JJ Vaquero, Virginia Riezu, Jaime Caravaca, Javi Durán, Darío Mares, Silvia Sparks, Los Jackass de la Impro, Comikazes, Richar Salamanca, Galder Varas, Raúl Massana",Beer Station,9.0,778
Oye Siri. Dime Joan,show,12.0,65.0,Joan Natzari,Teatro de las Aguas,9.5,107
Solo para Parejas - Los mejores monólogos de Madrid,show,13.0,60.0,Alex Salaberri,Estación Malasaña,9.9,1204
Ultrashow - Miguel Noguera en Madrid,show,14.9,75.0,,Teatros Luchana,9.0,154
"Karim - Sólo para adultos, en Madrid",show,14.9,70.0,Karim,Teatros Luchana,9.4,1370
"Hij@s, el club de los malos padres",show,14.9,75.0,,Teatros Luchana,9.4,878
Lago - Comedy Club,show,21.0,,Miguel Lago,Teatro Alcázar,9.2,126
Imbécil - Alex ODogherty,show,16.0,,Alex O’Dogherty,Teatro Capitol Gran Vía,9.4,540
"Miss Tupper Sex, en Madrid",show,18.0,90.0,Pilar Ordóñez,Pequeño Teatro Gran Vía de Madrid,9.2,1209
Los 30 son los nuevos. ¡Vete a la mierda!,show,12.0,90.0,Jorge Santos,The Mun,9.6,154
Asaari Bibang. Humor Negra.,show,11.0,70.0,"Asaari Bibang, El Golfo Comedy Club",El Golfo Comedy Club,9.8,100
"David Guapo #Quenonosfrunjanlafiesta, en Madrid",show,20.0,70.0,David Guapo,Gran teatro Caixabank Príncipe Pío,9.0,3365
Los Monólogos de Estupenda Café Bar,cuenta_local,2.4,80.0,"Javi Delpe, Javi DelPe Estupenda Bar",Estupenda Bar,9.0,214
Hardcore - Patricia Galván,show,13.0,75.0,,Beer Station,9.7,125
Monólogos de humor - Chocita del Loro Av. Brasil,show,11.0,65.0,"Miguel Iribar, Quique Matilla, Dani Alés, Fernando García-Torres, Raúl Navareño, Fran El Chavo, Danny Boy-Rivera , Eva y qué, Alex Salaberri, Álvaro Casares, David Cepo, Archie Bezos, La Chocita del Loro",Teatro Chocita del Loro - Avenida Brasil,9.2,1914
Arde Murcia,show,10.0,75.0,Pedro Ángel Roca,Abonavida,9.8,50
