local,direccion,tipo,web
Teatro Príncipe Gran Vía,"C. de las Tres Cruces, 8, 28013 Madrid",teatro,http://www.teatroprincipegranvia.es/
El Golfo Comedy Club,"C. de las Huertas, 57, 28014 Madrid",club de comedia,https://elgolfocomedy.com/
Teatro Arlequín Gran Vía,"C. de San Bernardo, 5, 28013 Madrid",teatro,http://teatroarlequingranvia.com/
Teatro Capitol Gran Vía,"C/ Gran Vía, 41, 28013 Madrid",teatro,http://www.capitolgranvia.com/
Estación Malasaña,"C. del Pez, 16, 28004 Madrid",bar,https://www.estacionmalasana.es/
Teatro Alcázar,"C. de Alcalá, 20, 28014 Madrid",teatro,https://gruposmedia.com/teatro-alcazar/
Cinesa Fuencarral,"Calle de Fuencarral, 136, 28010 Madrid",cine,http://www.cinesa.es/Cines/Proyecciones
El Sombrerero Comedy Club,"C. de Trafalgar, 15, 28010 Madrid",club de comedia,
Teatro de las Aguas,"C. de las Aguas, 8, 28005 Madrid",teatro,http://www.teatrodelasaguas.com/
Abonavida,"C. de las Navas de Tolosa, 3, 28013 Madrid",bar,http://www.abonavida.com/
Beer Station,"Cuesta de Sto. Domingo, 22, 28013 Madrid",bar,http://www.beerstation.com/
Teatros Luchana,"C. de Luchana, 38, 28010 Madrid",teatro,https://teatrosluchana.es/
Pequeño Teatro Gran Vía de Madrid,"C/ Gran Vía, 66, 28013 Madrid",teatro,https://entradas.gruposmedia.com/entradas/es/entradas-teatro-esto-es-un-chistako-david-cesar
The Mun,"C. de Tomás Bretón, 20, 28045 Madrid",espacios variados,http://www.themun.es/
Gran teatro Caixabank Príncipe Pío,"Cta. de San Vicente, 44, 28008 Madrid",teatro,http://laestacion.com/
Estupenda Bar,"C. de San Roque, 14, 28004 Madrid",bar,https://instagram.com/estupendacafebar?utm_source=ig_profile_share&igshid=9bjr3pe5tx5g
Teatro Chocita del Loro - Avenida Brasil,"Av. de Brasil, 17, 28020 Madrid",teatro,http://www.lachocitadelloro.com/
Teatro Reina Victoria,"Cra de S. Jerónimo, 24, 28014 Madrid",teatro,http://www.elteatroreinavictoria.com/
Cine Palacio de la Prensa,"Pl. del Callao, 4, 28013 Madrid",cine,http://www.palaciodelaprensa.com/
Teatro Chocita del Loro - Carabanchel,"Calle del Dr. Urquiola, 23, 28025 Madrid",teatro,http://www.lachocitadelloro.com/
Clandestino Café Teatro,"C. de las Tres Cruces, 12, 28013 Madrid",teatro,https://clandestinomadrid.es/
Teatro Chocita del Loro - Gran Vía,"C/ Gran Vía, 70, 28013 Madrid",teatro,http://www.lachocitadelloro.com/Teatro-La-Chocita-del-Loro-Senator-entradas.php
Cervecería Valverde Comedy Club,"C. de Valverde, 4, 28004 Madrid",club de comedia,
Collage Burlesque,"Calle de Manuel Silvela, 6, 28010 Madrid",bar,http://www.collageburlesque.com/
Sala Houdini,"C. de García Luna, 13, 28002 Madrid",espacios variados,http://www.salahoudinimadrid.com/
Tropicana Beach Club Madrid,"C. de la Lechuga, 2, 28012 Madrid",bar,http://tropicanabeachclub.es/
La Cripta Mágica,"C. de Tarragona, 15, 28045 Madrid",teatro,http://www.lacriptamagica.es/
Teatro Rey de Pikas,"C. de Tirso de Molina, 4, 28912 Leganés, Madrid",teatro,https://www.teatroreydepikas.com/
Intruso Bar,"C. de Augusto Figueroa, 3, 28004 Madrid",bar,http://www.intrusobar.com/
Teatro Bellas Artes,"C. del Marqués de Casa Riera, 2, 28014 Madrid",teatro,http://www.teatrobellasartes.es/
Sala Galileo Galilei,"C. de Galileo, 100, 28015 Madrid",espacios variados,http://www.salagalileogalilei.com/
Bala Perdida Club (Hotel Axel Madrid),"C. de Atocha, 49, 28012 Madrid",hotel,https://www.axelhotels.com/int/axel-hotel-madrid/hotel.html
Sala Kathedral,"Corre. Baja de San Pablo, 39-1, 28004 Madrid",bar,https://instagram.com/tocacabsnamadrid
Vodevil Circus,"C. Cruz de Guadalajara, 4, 28805 Alcalá de Henares, Madrid",teatro,https://www.vodevilcircus.com/
Teatro Real Carlos III de Aranjuez,"C. de San Antonio, 68, 28300 Aranjuez, Madrid",teatro,http://www.teatroaranjuez.es/
Teatro EDP Gran Vía,"C/ Gran Vía, 66, 28013 Madrid",teatro,https://gruposmedia.com/teatro-edp-gran-via/
Teatro Lara,"Corre. Baja de San Pablo, 15, 28004 Madrid",teatro,http://www.teatrolara.com/
OFF LATINA,"C. de los Mancebos, 4, 28005 Madrid",teatro,https://offlatina.com/
Platea Café Teatro,"C. el Electrodo, 50, 28522 Rivas-Vaciamadrid, Madrid",teatro,https://www.plateacafeteatro.com/
Cafetería Valverde,"C. de Valverde, 4, 28004 Madrid",bar,
Teatro Amaya,"P.º del Gral. Martínez Campos, 9, 28010 Madrid",teatro,
Teatro Victoria Madrid,"C. del Pez, 17, 28004 Madrid",teatro,http://www.teatrovictoria.net/
La Casa de Rovodorovsky Teatro,"C. de Daoiz, 28004 Madrid",teatro,http://rovodorovskyteatro.com/
La Nota Rock,"C. Real, 71, 28703 San Sebastián de los Reyes, Madrid",bar,https://m.facebook.com/lanotarock2009/
Sleep'n Atocha,"Calle del Dr. Drumen, 4, 28012 Madrid",hotel,http://www.sleepnatocha.com/
Mad Beer Hall,"C. de Julián Camarillo, 19, 28037 Madrid",bar,http://www.madbrewing.beer/
Escuela de Danza y Centro Deportivo Belo Art,"C. de Pamplona, 59, 28039 Madrid",espacios variados,http://www.beloart.es/
