show,tipo,precio,duracion,artista,local,nota,opiniones
La Hora y Media de El Club de la Comedia Madrid,show,22.0,90.0,rotativo,Teatro Príncipe Gran Vía,8.7,3930.0
"No cruces los brazos, David Cepo",show,17.0,75.0,david cepo,Teatro Arlequín Gran Vía,9.6,153.0
"Esto no es un show, con Galder Varas en Madrid",show,16.0,100.0,galder varas,Teatro Alcázar,9.7,365.0
"Buenrollistas - Víctor Parrado, en Madrid",show,14.0,100.0,victor parrado,Cinesa Fuencarral,9.7,554.0
Intermitente - Carlos Martínez,show,7.9,60.0,carlos martínez,Abonavida,9.8,68.0
"Aguántame el cubata, que me da la risa - Juan Aroca",show,12.0,65.0,juan aroca,Teatro de las Aguas,9.5,807.0
Oye Siri. Dime Joan,show,12.0,65.0,joan natzari,Teatro de las Aguas,9.5,107.0
Solo para Parejas - Los mejores monólogos de Madrid,show,13.0,60.0,alex salaberri,Estación Malasaña,9.9,1204.0
Ultrashow - Miguel Noguera en Madrid,show,14.9,75.0,miguel noguera,Teatros Luchana,9.0,154.0
"Karim - Sólo para adultos, en Madrid",show,14.9,70.0,karim,Teatros Luchana,9.4,1370.0
"Hij@s, el club de los malos padres",show,14.9,75.0,andres torres,Teatros Luchana,9.4,878.0
Lago - Comedy Club,show,21.0,60.0,miguel lago,Teatro Alcázar,9.2,126.0
Imbécil - Alex ODogherty,show,16.0,60.0,alex o’dogherty,Teatro Capitol Gran Vía,9.4,540.0
"Miss Tupper Sex, en Madrid",show,18.0,90.0,pilar ordóñez,Pequeño Teatro Gran Vía de Madrid,9.2,1209.0
Los 30 son los nuevos. ¡Vete a la mierda!,show,12.0,90.0,jorge santos,The Mun,9.6,154.0
Asaari Bibang. Humor Negra.,show,11.0,70.0,asaari bibang,El Golfo Comedy Club,9.8,100.0
"David Guapo #Quenonosfrunjanlafiesta, en Madrid",show,20.0,70.0,david guapo,Gran teatro Caixabank Príncipe Pío,9.0,3365.0
Hardcore - Patricia Galván,show,13.0,75.0,patricia galván,Beer Station,9.7,125.0
Monólogos de humor - Chocita del Loro Av. Brasil,show,11.0,65.0,miguel iribar,Teatro Chocita del Loro - Avenida Brasil,9.2,1914.0
Monólogos de humor - Chocita del Loro Av. Brasil,show,11.0,65.0, quique matilla,Teatro Chocita del Loro - Avenida Brasil,9.2,1914.0
Monólogos de humor - Chocita del Loro Av. Brasil,show,11.0,65.0, dani alés,Teatro Chocita del Loro - Avenida Brasil,9.2,1914.0
Monólogos de humor - Chocita del Loro Av. Brasil,show,11.0,65.0, fernando garcía-torres,Teatro Chocita del Loro - Avenida Brasil,9.2,1914.0
Monólogos de humor - Chocita del Loro Av. Brasil,show,11.0,65.0, raúl navareño,Teatro Chocita del Loro - Avenida Brasil,9.2,1914.0
Monólogos de humor - Chocita del Loro Av. Brasil,show,11.0,65.0, fran el chavo,Teatro Chocita del Loro - Avenida Brasil,9.2,1914.0
Monólogos de humor - Chocita del Loro Av. Brasil,show,11.0,65.0, danny boy-rivera ,Teatro Chocita del Loro - Avenida Brasil,9.2,1914.0
